,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
514,UTA,UTA @ NOP,03/06/2019,W,240,114,46,88,52.3,8,30,26.7,14,22,63.6,9,36,45,31,9,8,20,20,10
515,WAS,WAS vs. DAL,03/06/2019,W,240,132,50,93,53.8,12,33,36.4,20,25,80.0,15,34,49,30,3,2,13,26,9
516,DAL,DAL @ WAS,03/06/2019,L,240,123,45,93,48.4,15,41,36.6,18,28,64.3,14,25,39,27,7,2,7,19,-9
517,CHA,CHA vs. MIA,03/06/2019,L,240,84,30,82,36.6,14,36,38.9,10,15,66.7,10,30,40,22,7,4,21,19,-7
518,MIA,MIA @ CHA,03/06/2019,W,240,91,38,90,42.2,9,26,34.6,6,11,54.5,17,34,51,19,10,7,18,16,7
519,SAC,SAC vs. BOS,03/06/2019,L,240,109,40,80,50.0,13,29,44.8,16,22,72.7,6,34,40,23,8,4,18,21,-2
520,BOS,BOS @ SAC,03/06/2019,W,240,111,40,79,50.6,13,33,39.4,18,21,85.7,3,32,35,26,11,1,18,22,2
521,SAS,SAS @ ATL,03/06/2019,W,240,111,44,89,49.4,10,33,30.3,13,18,72.2,6,43,49,27,4,9,16,23,7
522,ATL,ATL vs. SAS,03/06/2019,L,240,104,36,92,39.1,13,43,30.2,19,24,79.2,11,36,47,21,8,2,14,18,-7
523,DET,DET vs. MIN,03/06/2019,W,240,131,50,93,53.8,14,33,42.4,17,22,77.3,11,31,42,29,5,3,5,19,17
524,MIN,MIN @ DET,03/06/2019,L,240,114,41,84,48.8,12,27,44.4,20,21,95.2,6,31,37,25,3,5,13,22,-17
525,BKN,BKN vs. CLE,03/06/2019,W,240,113,43,91,47.3,12,33,36.4,15,26,57.7,11,39,50,21,5,7,14,22,6
526,CLE,CLE @ BKN,03/06/2019,L,240,107,35,87,40.2,16,38,42.1,21,29,72.4,11,36,47,23,7,3,18,22,-6
527,PHX,PHX vs. NYK,03/06/2019,W,240,107,39,81,48.1,12,29,41.4,17,22,77.3,4,27,31,21,11,9,13,25,11
528,NYK,NYK @ PHX,03/06/2019,L,240,96,35,77,45.5,6,15,40.0,20,25,80.0,8,38,46,17,6,7,22,23,-11
529,CHI,CHI vs. PHI,03/06/2019,W,240,108,41,93,44.1,6,23,26.1,20,27,74.1,16,31,47,21,7,3,13,17,1
530,PHI,PHI @ CHI,03/06/2019,L,240,107,40,87,46.0,8,24,33.3,19,24,79.2,13,33,46,22,10,5,15,20,-1
531,LAL,LAL vs. DEN,03/06/2019,L,240,99,40,84,47.6,7,31,22.6,12,23,52.2,5,36,41,26,5,4,12,22,-16
532,DEN,DEN @ LAL,03/06/2019,W,240,115,45,98,45.9,13,42,31.0,12,17,70.6,18,37,55,33,6,3,8,17,16
533,MEM,MEM vs. POR,03/05/2019,W,240,120,40,75,53.3,13,27,48.1,27,36,75.0,4,30,34,22,11,5,17,21,9
534,POR,POR @ MEM,03/05/2019,L,240,111,42,79,53.2,9,29,31.0,18,21,85.7,5,31,36,25,7,4,20,29,-9
535,HOU,HOU @ TOR,03/05/2019,W,240,107,38,85,44.7,15,34,44.1,16,18,88.9,9,34,43,22,11,6,10,23,12
536,TOR,TOR vs. HOU,03/05/2019,L,240,95,37,89,41.6,9,32,28.1,12,16,75.0,16,31,47,16,1,5,13,15,-12
537,OKC,OKC @ MIN,03/05/2019,L,240,120,42,94,44.7,18,46,39.1,18,31,58.1,15,30,45,20,4,8,12,26,-11
538,MIN,MIN vs. OKC,03/05/2019,W,240,131,47,89,52.8,11,22,50.0,26,35,74.3,10,42,52,28,6,2,10,24,11
539,IND,IND vs. CHI,03/05/2019,W,240,105,38,84,45.2,11,25,44.0,18,24,75.0,11,39,50,19,6,9,12,22,9
540,CHI,CHI @ IND,03/05/2019,L,240,96,36,93,38.7,4,25,16.0,20,24,83.3,15,34,49,16,7,7,10,20,-9
541,GSW,GSW vs. BOS,03/05/2019,L,240,95,34,85,40.0,8,35,22.9,19,23,82.6,9,36,45,26,5,2,22,24,-33
542,BOS,BOS @ GSW,03/05/2019,W,240,128,49,96,51.0,14,34,41.2,16,17,94.1,9,37,46,38,12,5,11,24,33
543,PHI,PHI vs. ORL,03/05/2019,W,240,114,42,89,47.2,11,28,39.3,19,21,90.5,10,40,50,28,10,4,11,13,8
544,ORL,ORL @ PHI,03/05/2019,L,240,106,42,93,45.2,13,32,40.6,9,12,75.0,10,34,44,21,4,2,12,16,-8
545,SAC,SAC vs. NYK,03/04/2019,W,240,115,39,83,47.0,11,29,37.9,26,33,78.8,6,37,43,28,11,3,14,24,7
546,NYK,NYK @ SAC,03/04/2019,L,240,108,39,85,45.9,12,29,41.4,18,28,64.3,10,38,48,17,8,5,18,25,-7
547,NOP,NOP @ UTA,03/04/2019,W,240,115,46,96,47.9,9,20,45.0,14,18,77.8,12,32,44,24,12,5,8,20,3
548,UTA,UTA vs. NOP,03/04/2019,L,240,112,43,92,46.7,14,38,36.8,12,14,85.7,13,34,47,35,3,6,18,17,-3
549,ATL,ATL @ MIA,03/04/2019,L,240,113,38,91,41.8,17,46,37.0,20,25,80.0,16,26,42,25,9,2,14,21,-1
550,MIA,MIA vs. ATL,03/04/2019,W,240,114,44,79,55.7,9,23,39.1,17,24,70.8,7,33,40,23,9,7,19,24,1
551,DAL,DAL @ BKN,03/04/2019,L,240,88,31,87,35.6,12,45,26.7,14,22,63.6,5,31,36,20,4,3,14,19,-39
552,BKN,BKN vs. DAL,03/04/2019,W,240,127,48,85,56.5,17,41,41.5,14,19,73.7,3,45,48,29,8,1,13,23,39
553,PHX,PHX vs. MIL,03/04/2019,W,240,114,41,91,45.1,7,22,31.8,25,31,80.6,17,39,56,22,10,10,14,23,9
554,MIL,MIL @ PHX,03/04/2019,L,240,105,35,95,36.8,12,42,28.6,23,31,74.2,18,39,57,17,8,2,15,25,-9
555,LAC,LAC @ LAL,03/04/2019,W,240,113,41,83,49.4,11,29,37.9,20,24,83.3,8,42,50,25,7,3,16,22,8
556,LAL,LAL vs. LAC,03/04/2019,L,240,105,38,91,41.8,10,38,26.3,19,24,79.2,7,33,40,22,2,6,12,21,-8
557,DEN,DEN @ SAS,03/04/2019,L,240,103,41,95,43.2,17,40,42.5,4,4,100,8,35,43,27,5,3,13,17,-1
558,SAS,SAS vs. DEN,03/04/2019,W,240,104,41,85,48.2,8,25,32.0,14,19,73.7,6,37,43,27,8,7,9,13,1
559,MEM,MEM @ OKC,03/03/2019,L,240,95,35,79,44.3,7,22,31.8,18,19,94.7,4,40,44,22,9,9,22,25,-4
560,OKC,OKC vs. MEM,03/03/2019,W,240,99,33,93,35.5,9,30,30.0,24,33,72.7,17,36,53,19,10,5,14,19,4
561,WAS,WAS vs. MIN,03/03/2019,W,240,135,49,98,50.0,11,33,33.3,26,32,81.3,15,31,46,30,6,4,9,19,14
562,MIN,MIN @ WAS,03/03/2019,L,240,121,52,99,52.5,4,27,14.8,13,19,68.4,12,34,46,25,3,4,12,24,-14
563,CHA,CHA vs. POR,03/03/2019,L,240,108,37,83,44.6,14,33,42.4,20,23,87.0,4,31,35,25,7,5,12,21,-10
564,POR,POR @ CHA,03/03/2019,W,240,118,43,96,44.8,11,32,34.4,21,23,91.3,13,35,48,26,9,3,11,23,10
565,DET,DET vs. TOR,03/03/2019,W,265,112,40,86,46.5,12,33,36.4,20,29,69.0,8,38,46,25,10,3,18,24,5
566,TOR,TOR @ DET,03/03/2019,L,265,107,37,96,38.5,14,39,35.9,19,24,79.2,18,32,50,22,8,3,16,28,-5
567,ORL,ORL @ CLE,03/03/2019,L,240,93,39,88,44.3,6,26,23.1,9,11,81.8,8,33,41,23,5,4,11,17,-14
568,CLE,CLE vs. ORL,03/03/2019,W,240,107,36,83,43.4,14,43,32.6,21,23,91.3,9,35,44,20,7,2,13,15,14
569,NYK,NYK @ LAC,03/03/2019,L,240,107,35,88,39.8,11,29,37.9,26,34,76.5,9,37,46,23,9,9,13,19,-21
570,LAC,LAC vs. NYK,03/03/2019,W,240,128,48,98,49.0,19,35,54.3,13,17,76.5,9,44,53,33,5,4,17,28,21
571,BOS,BOS vs. HOU,03/03/2019,L,240,104,37,77,48.1,8,28,28.6,22,29,75.9,8,36,44,23,7,0,13,23,-11
572,HOU,HOU @ BOS,03/03/2019,W,240,115,38,80,47.5,21,51,41.2,18,29,62.1,10,32,42,22,8,4,12,23,11
573,ATL,ATL @ CHI,03/03/2019,W,240,123,42,89,47.2,21,42,50.0,18,28,64.3,11,35,46,30,10,5,13,18,5
574,CHI,CHI vs. ATL,03/03/2019,L,240,118,47,92,51.1,8,27,29.6,16,21,76.2,9,33,42,25,6,5,14,20,-5
575,DEN,DEN vs. NOP,03/02/2019,L,240,112,39,92,42.4,9,32,28.1,25,29,86.2,10,34,44,25,13,7,16,22,-8
576,NOP,NOP @ DEN,03/02/2019,W,240,120,45,92,48.9,12,30,40.0,18,26,69.2,12,35,47,28,10,4,21,25,8
577,DAL,DAL vs. MEM,03/02/2019,L,240,81,26,85,30.6,7,40,17.5,22,33,66.7,13,30,43,17,9,5,10,23,-30
578,MEM,MEM @ DAL,03/02/2019,W,240,111,39,78,50.0,14,34,41.2,19,24,79.2,4,46,50,30,4,6,15,30,30
579,IND,IND vs. ORL,03/02/2019,L,240,112,42,77,54.5,7,27,25.9,21,24,87.5,3,33,36,31,5,6,11,17,-5
580,ORL,ORL @ IND,03/02/2019,W,240,117,46,91,50.5,10,28,35.7,15,19,78.9,11,30,41,28,7,5,9,20,5
581,UTA,UTA vs. MIL,03/02/2019,W,240,115,44,96,45.8,12,29,41.4,15,26,57.7,16,37,53,22,13,7,13,23,4
582,MIL,MIL @ UTA,03/02/2019,L,240,111,37,96,38.5,15,39,38.5,22,30,73.3,17,36,53,20,6,10,15,22,-4
583,MIA,MIA vs. BKN,03/02/2019,W,240,117,44,90,48.9,14,34,41.2,15,22,68.2,11,46,57,36,5,9,12,19,29
584,BKN,BKN @ MIA,03/02/2019,L,240,88,31,88,35.2,9,42,21.4,17,22,77.3,7,29,36,20,6,6,12,14,-29
585,CLE,CLE vs. DET,03/02/2019,L,240,93,27,79,34.2,13,34,38.2,26,32,81.3,9,24,33,15,7,1,12,19,-36
586,DET,DET @ CLE,03/02/2019,W,240,129,47,87,54.0,20,37,54.1,15,17,88.2,9,42,51,27,5,8,12,24,36
587,LAL,LAL @ PHX,03/02/2019,L,240,109,43,89,48.3,8,25,32.0,15,23,65.2,10,30,40,27,3,3,12,24,-9
588,PHX,PHX vs. LAL,03/02/2019,W,240,118,39,76,51.3,6,26,23.1,34,40,85.0,9,32,41,21,7,8,13,22,9
589,OKC,OKC @ SAS,03/02/2019,L,240,102,40,88,45.5,7,29,24.1,15,24,62.5,11,34,45,17,7,2,13,19,-14
590,SAS,SAS vs. OKC,03/02/2019,W,240,116,45,91,49.5,8,19,42.1,18,25,72.0,11,38,49,15,8,6,11,19,14
591,GSW,GSW @ PHI,03/02/2019,W,240,120,41,81,50.6,14,33,42.4,24,34,70.6,4,35,39,23,14,7,14,22,3
592,PHI,PHI vs. GSW,03/02/2019,L,240,117,39,87,44.8,14,31,45.2,25,29,86.2,11,35,46,26,6,3,21,25,-3
593,POR,POR @ TOR,03/01/2019,L,240,117,42,85,49.4,14,33,42.4,19,23,82.6,9,33,42,24,9,4,18,25,-2
594,TOR,TOR vs. POR,03/01/2019,W,240,119,45,81,55.6,10,28,35.7,19,21,90.5,2,30,32,29,9,6,14,17,2
595,SAC,SAC vs. LAC,03/01/2019,L,240,109,41,93,44.1,6,21,28.6,21,25,84.0,8,38,46,27,6,8,8,25,-7
596,LAC,LAC @ SAC,03/01/2019,W,240,116,40,92,43.5,12,31,38.7,24,33,72.7,16,42,58,19,4,6,12,23,7
597,ATL,ATL vs. CHI,03/01/2019,L,340,161,61,123,49.6,22,60,36.7,17,25,68.0,9,50,59,33,11,8,20,34,-7
598,CHI,CHI @ ATL,03/01/2019,W,340,168,56,119,47.1,21,48,43.8,35,48,72.9,11,51,62,30,10,5,17,30,7
599,WAS,WAS @ BOS,03/01/2019,L,240,96,36,89,40.4,10,38,26.3,14,19,73.7,11,42,53,20,7,6,18,16,-11
600,BOS,BOS vs. WAS,03/01/2019,W,240,107,42,94,44.7,10,35,28.6,13,17,76.5,11,35,46,26,12,3,12,18,11
601,CHA,CHA @ BKN,03/01/2019,W,240,123,50,94,53.2,9,21,42.9,14,17,82.4,10,30,40,24,6,4,14,25,11
602,BKN,BKN vs. CHA,03/01/2019,L,240,112,44,86,51.2,10,32,31.3,14,18,77.8,7,30,37,27,2,5,17,19,-11
603,NOP,NOP @ PHX,03/01/2019,W,240,130,50,87,57.5,16,27,59.3,14,20,70.0,10,40,50,34,13,4,25,18,14
604,PHX,PHX vs. NOP,03/01/2019,L,240,116,40,94,42.6,12,34,35.3,24,28,85.7,12,27,39,25,17,2,19,21,-14
605,LAL,LAL vs. MIL,03/01/2019,L,240,120,46,96,47.9,13,40,32.5,15,18,83.3,8,32,40,29,4,4,9,21,-11
606,MIL,MIL @ LAL,03/01/2019,W,240,131,48,93,51.6,14,40,35.0,21,24,87.5,11,40,51,30,4,6,11,15,11
607,PHI,PHI @ OKC,02/28/2019,W,240,108,42,91,46.2,12,30,40.0,12,19,63.2,8,36,44,33,9,5,14,24,4
608,OKC,OKC vs. PHI,02/28/2019,L,240,104,38,87,43.7,8,27,29.6,20,28,71.4,8,36,44,28,5,3,12,18,-4
609,UTA,UTA @ DEN,02/28/2019,W,240,111,37,84,44.0,16,43,37.2,21,33,63.6,10,34,44,25,6,6,11,22,7
610,DEN,DEN vs. UTA,02/28/2019,L,240,104,40,99,40.4,7,25,28.0,17,24,70.8,16,39,55,25,6,5,13,23,-7
611,IND,IND vs. MIN,02/28/2019,W,240,122,40,84,47.6,16,27,59.3,26,31,83.9,8,27,35,35,8,11,11,21,7
612,MIN,MIN @ IND,02/28/2019,L,240,115,42,89,47.2,8,26,30.8,23,34,67.6,21,35,56,16,5,7,18,24,-7
613,HOU,HOU vs. MIA,02/28/2019,W,240,121,38,77,49.4,19,46,41.3,26,28,92.9,8,28,36,22,6,5,16,21,3
614,MIA,MIA @ HOU,02/28/2019,L,240,118,42,81,51.9,15,28,53.6,19,24,79.2,8,26,34,28,9,2,14,22,-3
615,ORL,ORL vs. GSW,02/28/2019,W,240,103,40,89,44.9,11,31,35.5,12,15,80.0,9,44,53,24,2,9,15,14,7
616,GSW,GSW @ ORL,02/28/2019,L,240,96,39,97,40.2,9,40,22.5,9,10,90.0,9,38,47,16,5,3,12,14,-7
617,CLE,CLE @ NYK,02/28/2019,W,240,125,41,80,51.3,14,34,41.2,29,36,80.6,8,32,40,24,5,3,13,20,7
618,NYK,NYK vs. CLE,02/28/2019,L,240,118,46,95,48.4,11,32,34.4,15,23,65.2,14,26,40,26,4,3,10,28,-7
619,MEM,MEM vs. CHI,02/27/2019,L,240,107,41,94,43.6,9,27,33.3,16,18,88.9,12,34,46,25,7,5,16,17,-2
620,CHI,CHI @ MEM,02/27/2019,W,240,109,39,82,47.6,8,24,33.3,23,25,92.0,7,35,42,20,12,9,15,20,2
621,HOU,HOU @ CHA,02/27/2019,W,240,118,42,91,46.2,13,39,33.3,21,24,87.5,7,30,37,23,11,3,10,22,5
622,CHA,CHA vs. HOU,02/27/2019,L,240,113,39,83,47.0,12,33,36.4,23,27,85.2,8,40,48,25,9,5,18,22,-5
623,SAC,SAC vs. MIL,02/27/2019,L,265,140,53,118,44.9,12,33,36.4,22,30,73.3,15,43,58,30,6,6,8,19,-1
624,MIL,MIL @ SAC,02/27/2019,W,265,141,54,112,48.2,17,45,37.8,16,21,76.2,11,46,57,36,3,14,11,18,1
625,ATL,ATL vs. MIN,02/27/2019,W,265,131,46,108,42.6,12,29,41.4,27,32,84.4,18,47,65,32,1,6,12,25,8
626,MIN,MIN @ ATL,02/27/2019,L,265,123,44,102,43.1,12,38,31.6,23,33,69.7,9,38,47,29,8,7,7,24,-8
627,DAL,DAL vs. IND,02/27/2019,W,240,110,40,81,49.4,16,37,43.2,14,23,60.9,10,32,42,27,11,1,17,22,9
628,IND,IND @ DAL,02/27/2019,L,240,101,37,77,48.1,10,28,35.7,17,21,81.0,6,32,38,19,10,3,15,23,-9
629,UTA,UTA vs. LAC,02/27/2019,W,240,111,38,92,41.3,11,34,32.4,24,32,75.0,14,42,56,22,9,12,16,23,6
630,LAC,LAC @ UTA,02/27/2019,L,240,105,37,94,39.4,5,26,19.2,26,30,86.7,11,36,47,16,11,6,11,26,-6
631,MIA,MIA vs. GSW,02/27/2019,W,240,126,42,83,50.6,18,41,43.9,24,30,80.0,12,36,48,20,4,6,14,31,1
632,GSW,GSW @ MIA,02/27/2019,L,240,125,44,89,49.4,17,48,35.4,20,28,71.4,8,29,37,21,7,3,10,21,-1
633,BOS,BOS vs. POR,02/27/2019,L,240,92,40,86,46.5,5,28,17.9,7,10,70.0,8,33,41,20,5,4,17,20,-5
634,POR,POR @ BOS,02/27/2019,W,240,97,38,90,42.2,6,33,18.2,15,20,75.0,13,35,48,14,11,2,12,15,5
635,BKN,BKN vs. WAS,02/27/2019,L,240,116,39,85,45.9,8,35,22.9,30,39,76.9,7,34,41,20,7,3,16,27,-9
636,WAS,WAS @ BKN,02/27/2019,W,240,125,44,96,45.8,11,37,29.7,26,31,83.9,17,40,57,34,10,4,19,30,9
637,NOP,NOP @ LAL,02/27/2019,L,240,119,46,102,45.1,7,35,20.0,20,27,74.1,14,38,52,31,6,3,13,27,-6
638,LAL,LAL vs. NOP,02/27/2019,W,240,125,49,94,52.1,8,25,32.0,19,31,61.3,6,33,39,37,7,8,8,22,6
639,SAS,SAS vs. DET,02/27/2019,W,240,105,42,81,51.9,9,17,52.9,12,17,70.6,7,48,55,24,3,7,12,11,12
640,DET,DET @ SAS,02/27/2019,L,240,93,36,100,36.0,15,38,39.5,6,7,85.7,8,33,41,19,6,3,6,14,-12
641,BOS,BOS @ TOR,02/26/2019,L,240,95,33,86,38.4,6,30,20.0,23,28,82.1,10,37,47,24,6,4,14,20,-23
642,TOR,TOR vs. BOS,02/26/2019,W,240,118,46,94,48.9,17,36,47.2,9,14,64.3,8,37,45,33,7,5,9,24,23
643,DEN,DEN vs. OKC,02/26/2019,W,240,121,41,88,46.6,13,28,46.4,26,35,74.3,11,36,47,28,9,4,18,28,9
644,OKC,OKC @ DEN,02/26/2019,L,240,112,43,95,45.3,10,38,26.3,16,25,64.0,14,32,46,31,10,5,17,34,-9
645,ORL,ORL @ NYK,02/26/2019,L,240,103,39,89,43.8,11,32,34.4,14,20,70.0,12,35,47,26,6,7,16,21,-5
646,NYK,NYK vs. ORL,02/26/2019,W,240,108,38,89,42.7,7,24,29.2,25,32,78.1,14,37,51,17,11,7,10,15,5
647,PHI,PHI @ NOP,02/25/2019,W,240,111,44,101,43.6,10,31,32.3,13,19,68.4,15,43,58,23,9,8,20,19,1
648,NOP,NOP vs. PHI,02/25/2019,L,240,110,44,104,42.3,5,28,17.9,17,24,70.8,14,40,54,29,15,8,14,19,-1
649,MEM,MEM vs. LAL,02/25/2019,W,240,110,41,93,44.1,9,36,25.0,19,23,82.6,15,42,57,20,7,5,15,21,5
650,LAL,LAL @ MEM,02/25/2019,L,240,105,40,89,44.9,10,27,37.0,15,20,75.0,10,36,46,25,8,5,17,28,-5
651,GSW,GSW @ CHA,02/25/2019,W,240,121,48,95,50.5,14,41,34.1,11,13,84.6,13,36,49,35,9,8,15,18,11
652,CHA,CHA vs. GSW,02/25/2019,L,240,110,40,91,44.0,7,33,21.2,23,26,88.5,9,29,38,23,13,6,12,11,-11
653,MIN,MIN vs. SAC,02/25/2019,W,240,112,42,83,50.6,8,31,25.8,20,28,71.4,7,42,49,23,10,6,22,28,7
654,SAC,SAC @ MIN,02/25/2019,L,240,105,37,95,38.9,9,26,34.6,22,29,75.9,14,30,44,20,13,2,20,27,-7
655,DET,DET vs. IND,02/25/2019,W,240,113,39,88,44.3,18,41,43.9,17,26,65.4,15,32,47,28,8,4,12,20,4
656,IND,IND @ DET,02/25/2019,L,240,109,40,87,46.0,10,26,38.5,19,21,90.5,12,30,42,23,8,8,11,23,-4
657,MIA,MIA vs. PHX,02/25/2019,L,240,121,48,97,49.5,9,29,31.0,16,20,80.0,14,30,44,31,10,4,14,20,-3
658,PHX,PHX @ MIA,02/25/2019,W,240,124,45,89,50.6,13,32,40.6,21,25,84.0,7,32,39,30,9,1,14,20,3
659,HOU,HOU vs. ATL,02/25/2019,W,240,119,39,90,43.3,15,51,29.4,26,30,86.7,12,25,37,24,11,4,14,18,8
660,ATL,ATL @ HOU,02/25/2019,L,240,111,39,80,48.8,17,38,44.7,16,23,69.6,10,31,41,21,6,6,17,24,-8
661,POR,POR @ CLE,02/25/2019,W,240,123,44,78,56.4,18,29,62.1,17,22,77.3,6,39,45,26,5,6,13,24,13
662,CLE,CLE vs. POR,02/25/2019,L,240,110,37,89,41.6,13,34,38.2,23,26,88.5,13,27,40,22,4,1,8,20,-13
663,LAC,LAC vs. DAL,02/25/2019,W,240,121,45,100,45.0,17,45,37.8,14,18,77.8,9,31,40,33,11,4,6,22,9
664,DAL,DAL @ LAC,02/25/2019,L,240,112,37,76,48.7,14,36,38.9,24,27,88.9,7,38,45,28,3,9,17,20,-9
665,SAS,SAS @ BKN,02/25/2019,L,240,85,35,96,36.5,4,24,16.7,11,12,91.7,10,37,47,14,6,6,11,13,-16
666,BKN,BKN vs. SAS,02/25/2019,W,240,101,35,81,43.2,19,50,38.0,12,16,75.0,6,45,51,24,5,5,16,15,16
667,MIL,MIL @ CHI,02/25/2019,W,240,117,42,91,46.2,17,49,34.7,16,23,69.6,8,37,45,26,3,6,8,22,11
668,CHI,CHI vs. MIL,02/25/2019,L,240,106,41,92,44.6,9,26,34.6,15,22,68.2,6,35,41,31,3,3,7,18,-11
669,TOR,TOR vs. ORL,02/24/2019,L,240,98,38,91,41.8,11,28,39.3,11,14,78.6,6,36,42,30,6,2,13,20,-15
670,ORL,ORL @ TOR,02/24/2019,W,240,113,42,91,46.2,14,36,38.9,15,20,75.0,12,40,52,29,6,8,13,16,15
671,DEN,DEN vs. LAC,02/24/2019,W,240,123,44,85,51.8,12,34,35.3,23,35,65.7,12,44,56,30,11,6,23,28,27
672,LAC,LAC @ DEN,02/24/2019,L,240,96,30,87,34.5,3,21,14.3,33,37,89.2,7,31,38,20,9,7,17,27,-27
673,NYK,NYK vs. SAS,02/24/2019,W,240,130,50,98,51.0,16,37,43.2,14,19,73.7,12,37,49,25,3,7,7,27,12
674,SAS,SAS @ NYK,02/24/2019,L,240,118,42,94,44.7,6,24,25.0,28,31,90.3,14,36,50,18,3,4,7,20,-12
675,LAL,LAL @ NOP,02/23/2019,L,240,115,44,81,54.3,10,29,34.5,17,26,65.4,6,33,39,33,10,3,23,21,-13
676,NOP,NOP vs. LAL,02/23/2019,W,240,128,50,96,52.1,15,40,37.5,13,16,81.3,9,32,41,31,14,4,18,21,13
677,OKC,OKC vs. SAC,02/23/2019,L,240,116,40,105,38.1,14,46,30.4,22,28,78.6,16,43,59,17,2,6,14,26,-3
678,SAC,SAC @ OKC,02/23/2019,W,240,119,44,97,45.4,7,19,36.8,24,34,70.6,7,40,47,24,7,7,9,21,3
679,WAS,WAS vs. IND,02/23/2019,L,240,112,42,79,53.2,13,35,37.1,15,21,71.4,8,24,32,27,15,5,22,23,-7
680,IND,IND @ WAS,02/23/2019,W,240,119,47,83,56.6,11,25,44.0,14,22,63.6,12,29,41,29,13,0,23,21,7
681,BKN,BKN @ CHA,02/23/2019,W,240,117,40,87,46.0,17,43,39.5,20,26,76.9,11,31,42,23,5,6,13,26,2
682,CHA,CHA vs. BKN,02/23/2019,L,240,115,39,86,45.3,12,35,34.3,25,30,83.3,12,30,42,15,4,5,12,23,-2
683,PHX,PHX @ ATL,02/23/2019,L,240,112,41,93,44.1,13,37,35.1,17,20,85.0,6,35,41,25,9,4,12,29,-8
684,ATL,ATL vs. PHX,02/23/2019,W,240,120,38,92,41.3,12,33,36.4,32,38,84.2,12,38,50,22,8,9,14,22,8
685,DAL,DAL @ UTA,02/23/2019,L,240,109,41,97,42.3,13,36,36.1,14,18,77.8,8,34,42,25,2,3,3,28,-16
686,UTA,UTA vs. DAL,02/23/2019,W,240,125,41,85,48.2,14,38,36.8,29,33,87.9,8,45,53,28,2,9,7,21,16
687,MIL,MIL vs. MIN,02/23/2019,W,240,140,50,95,52.6,19,43,44.2,21,22,95.5,10,39,49,28,6,8,11,17,12
688,MIN,MIN @ MIL,02/23/2019,L,240,128,50,102,49.0,12,26,46.2,16,20,80.0,12,29,41,29,7,2,10,16,-12
689,DET,DET @ MIA,02/23/2019,W,240,119,42,80,52.5,14,33,42.4,21,26,80.8,7,34,41,21,6,5,14,24,23
690,MIA,MIA vs. DET,02/23/2019,L,240,96,35,82,42.7,7,28,25.0,19,27,70.4,9,24,33,18,6,6,13,22,-23
691,MEM,MEM @ CLE,02/23/2019,L,240,107,40,90,44.4,5,25,20.0,22,28,78.6,15,28,43,18,7,6,12,21,-5
692,CLE,CLE vs. MEM,02/23/2019,W,240,112,39,88,44.3,16,42,38.1,18,23,78.3,14,38,52,25,6,3,19,26,5
693,CHI,CHI vs. BOS,02/23/2019,W,240,126,47,88,53.4,12,30,40.0,20,21,95.2,11,38,49,26,4,2,13,22,10
694,BOS,BOS @ CHI,02/23/2019,L,240,116,45,92,48.9,10,29,34.5,16,21,76.2,6,26,32,26,6,7,7,18,-10
695,HOU,HOU @ GSW,02/23/2019,W,240,118,40,92,43.5,16,43,37.2,22,24,91.7,12,37,49,26,13,7,15,23,6
696,GSW,GSW vs. HOU,02/23/2019,L,240,112,42,90,46.7,14,36,38.9,14,20,70.0,9,36,45,26,9,10,18,19,-6
697,PHI,PHI vs. POR,02/23/2019,L,240,115,42,87,48.3,9,24,37.5,22,28,78.6,7,26,33,28,5,5,11,23,-15
698,POR,POR @ PHI,02/23/2019,W,240,130,49,99,49.5,5,23,21.7,27,29,93.1,19,34,53,29,8,6,11,23,15
699,OKC,OKC vs. UTA,02/22/2019,W,290,148,55,118,46.6,18,44,40.9,20,25,80.0,11,32,43,29,16,5,11,29,1
700,UTA,UTA @ OKC,02/22/2019,L,290,147,52,105,49.5,18,40,45.0,25,31,80.6,15,46,61,33,8,10,25,25,-1
701,TOR,TOR vs. SAS,02/22/2019,W,240,120,40,94,42.6,14,30,46.7,26,32,81.3,14,33,47,24,8,3,9,20,3
702,SAS,SAS @ TOR,02/22/2019,L,240,117,43,89,48.3,12,37,32.4,19,22,86.4,9,39,48,27,7,6,14,22,-3
703,LAC,LAC @ MEM,02/22/2019,W,240,112,35,75,46.7,6,25,24.0,36,42,85.7,7,42,49,21,8,4,24,30,6
704,MEM,MEM vs. LAC,02/22/2019,L,240,106,33,90,36.7,9,32,28.1,31,36,86.1,11,28,39,20,10,6,11,31,-6
705,CHA,CHA vs. WAS,02/22/2019,W,240,123,46,96,47.9,13,33,39.4,18,22,81.8,11,42,53,26,7,6,14,20,13
706,WAS,WAS @ CHA,02/22/2019,L,240,110,42,97,43.3,10,39,25.6,16,18,88.9,11,32,43,24,6,6,13,20,-13
707,ATL,ATL vs. DET,02/22/2019,L,240,122,43,88,48.9,20,42,47.6,16,19,84.2,10,37,47,21,6,4,18,24,-3
708,DET,DET @ ATL,02/22/2019,W,240,125,46,95,48.4,15,40,37.5,18,28,64.3,10,34,44,20,11,4,8,21,3
709,DAL,DAL vs. DEN,02/22/2019,L,240,104,34,84,40.5,10,41,24.4,26,33,78.8,7,35,42,19,7,2,15,21,-10
